"filename", "language", "Python", "HTML", "JavaScript", "pip requirements", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\proyectos\Proyecto-sistem\backend\personal\admin.py", "Python", 37, 0, 0, 0, 0, 0, 1, 8, 46
"d:\proyectos\Proyecto-sistem\backend\personal\api.py", "Python", 13, 0, 0, 0, 0, 0, 2, 2, 17
"d:\proyectos\Proyecto-sistem\backend\personal\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\proyectos\Proyecto-sistem\backend\personal\forms.py", "Python", 99, 0, 0, 0, 0, 0, 6, 19, 124
"d:\proyectos\Proyecto-sistem\backend\personal\migrations\0001_initial.py", "Python", 74, 0, 0, 0, 0, 0, 1, 7, 82
"d:\proyectos\Proyecto-sistem\backend\personal\migrations\0002_initial.py", "Python", 47, 0, 0, 0, 0, 0, 1, 7, 55
"d:\proyectos\Proyecto-sistem\backend\personal\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\personal\models.py", "Python", 92, 0, 0, 0, 0, 0, 17, 17, 126
"d:\proyectos\Proyecto-sistem\backend\personal\tests.py", "Python", 437, 0, 0, 0, 0, 0, 93, 94, 624
"d:\proyectos\Proyecto-sistem\backend\personal\urls.py", "Python", 20, 0, 0, 0, 0, 0, 4, 4, 28
"d:\proyectos\Proyecto-sistem\backend\personal\views.py", "Python", 232, 0, 0, 0, 0, 0, 23, 63, 318
"d:\proyectos\Proyecto-sistem\backend\requirements.txt", "pip requirements", 0, 0, 0, 51, 0, 0, 0, 0, 51
"d:\proyectos\Proyecto-sistem\backend\scripts\setup.py", "Python", 134, 0, 0, 0, 0, 0, 16, 17, 167
"d:\proyectos\Proyecto-sistem\backend\static\css\responsive.css", "PostCSS", 0, 0, 0, 0, 0, 206, 24, 47, 277
"d:\proyectos\Proyecto-sistem\backend\static\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 208, 17, 43, 268
"d:\proyectos\Proyecto-sistem\backend\static\js\asignaciones_filters.js", "JavaScript", 0, 0, 99, 0, 0, 0, 14, 20, 133
"d:\proyectos\Proyecto-sistem\backend\static\js\residentes_filters.js", "JavaScript", 0, 0, 70, 0, 0, 0, 15, 16, 101
"d:\proyectos\Proyecto-sistem\backend\static\js\scripts.js", "JavaScript", 0, 0, 183, 0, 0, 0, 33, 32, 248
"d:\proyectos\Proyecto-sistem\backend\static\js\viviendas_filters.js", "JavaScript", 0, 0, 77, 0, 0, 0, 17, 17, 111
"d:\proyectos\Proyecto-sistem\backend\templates\404.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 1, 21
"d:\proyectos\Proyecto-sistem\backend\templates\500.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\proyectos\Proyecto-sistem\backend\templates\accesos\movimiento_entrada_form.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 5, 42
"d:\proyectos\Proyecto-sistem\backend\templates\accesos\movimiento_list.html", "HTML", 0, 94, 0, 0, 0, 0, 1, 4, 99
"d:\proyectos\Proyecto-sistem\backend\templates\accesos\movimiento_salida_form.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 5, 42
